area_id,city_id,grade,fill,label,name,category_i,area,Shape_Leng,Shape_Area,temp2021_mean,temp2017_mean,temp2013_mean,tree2021_mean,averagetemp_mean,tree2013_mean,imperv2021_mean,imperv2013_mean,pop_density_2021,pop_density_2013,house_density_2021,house_density_2013,building_density_2021,white_percent_2021,white_percent_2013,black_percent_2021,black_percent_2013,nonwhite_percent_2021,nonwhite_percent_2013,hispanic_percent_2021,hispanic_percent_2013,holc_area,building_area_2021
6102,128,C,#ffff00,C6,Lower Piedmont and Outlook,3,0.000191657,0.099865328,0.000191703,38.77334132,40.77316786,39.43036072,20.28497409,39.65895663,21.93782383,62.41450777,62.36917098,1642.86,3183.53,3906,1378.37,20.10736445,73.56,65.97,13.62,20.07,26.44,34.03,5.27,5.93,1663576.648,334501.4195
6103,128,B,#7cb5bd,B5,Outlook Park,2,4.49E-05,0.029393981,4.49E-05,37.97736991,37.89661919,38.21278604,32.15508021,38.02892505,32.9197861,45.81283422,46.28342246,703.58,1340.4,539,549.51,15.43429342,65.57,89.08,20.56,0,34.43,10.92,2.31,3.07,389436.1313,60106.7152
6104,128,B,#7cb5bd,B3,Madrona Park,2,1.12E-05,0.01655838,1.12E-05,38.08290128,38.7870134,38.40761318,16.64583333,38.42584262,21.1875,66.35416667,64.45833333,1172.8,3004.01,216,1172.8,17.46857648,83.08,77.74,2.69,8.22,16.92,22.26,6.92,1.03,97203.82652,16980.12477
6105,128,C,#ffff00,C4,Madrona Park and Lower Kenton,3,0.000148283,0.094213584,0.000148429,38.81798921,40.04612652,38.8065246,21.56730769,39.22354677,23.12019231,58.03044872,57.87660256,1448.98,2991.15,3131,1339.5,18.13915174,75.85,70.72,7.15,5.53,24.18,29.28,6.81,10.7,1287803.504,233596.6316
6106,128,B,#7cb5bd,B4,Peninsula,2,5.37E-05,0.043575291,5.36E-05,39.02012236,41.26917952,40.00701867,20.02242152,40.09877352,21.65022422,60.35426009,60.35426009,1422.44,2877.1,1128,1370.87,20.62635877,79.77,75.21,4.31,6.05,20.23,24.79,4.46,1.87,465400.242,95995.12365
6107,128,B,#7cb5bd,B2,Mocks Crest,2,6.74E-05,0.04057581,6.73E-05,38.23478954,39.42404688,38.76194792,24.35820896,38.80692811,25.62686567,56.95149254,57.27985075,1309.91,2551.33,1423,1089.02,19.65678733,74.97,83.09,10.43,6.17,25.03,16.91,8.06,1.41,584013.288,114798.25
6109,128,B,#7cb5bd,B7,Peninsula,2,8.11E-05,0.046624438,8.11E-05,38.02329956,41.0599967,39.97961755,20.32102273,39.68763793,22.58806818,63.00284091,62.84659091,1468.61,2851.91,1707,1266.73,17.94278777,69.14,62.06,7.17,11.17,30.86,37.94,15.63,18.99,703390.6356,126207.8889
6110,128,B,#7cb5bd,B6,Peninsula,2,3.13E-05,0.035368033,3.13E-05,39.30612519,41.33771083,40.4675399,25.16666667,40.37045864,25.82539683,62.88095238,62.76190476,821.07,1951.43,323,854.21,16.85496289,66.87,64.72,10.35,10.57,33.13,35.28,22.77,8.49,271596.6556,45777.51552
6111,128,C,#ffff00,C5,East Kenton and Upper Piedmont,3,0.000141045,0.080853226,0.000140993,39.2135823,41.7608617,40.66236704,20.7662116,40.54560368,21.79863481,63.38054608,63.16040956,1298.37,2358.81,2089,1111.95,19.26151648,67.26,57.71,16.81,21.56,32.74,42.29,12.97,9.15,1223081.304,235584.0071
6112,128,B,#7cb5bd,B8,Piedmont,2,8.97E-05,0.047271408,8.98E-05,36.1202742,40.53498883,39.40180126,24.60212202,38.6856881,25.67374005,58.36074271,58.15119363,1376.29,3394.51,1954,1251.76,19.29417896,74.38,72.31,17.05,15.77,25.62,27.65,4.57,5.26,778907.0699,150283.724
